Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
230440005060753,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,189,733,3.88,4.44,1027.43,1249697.85,1078.8,1256802.72,531.82,883417.72,923.39,1173077.6,NA
230440005060754,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,388,1351,3.48,2.71,753.17,609011.26,830.2,607342.58,454.74,449426.39,718.93,520690.62,NA
230440005060755,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,399,1452,3.64,3.07,755.51,566750.72,828.15,561069.07,459.77,480418.24,731.76,565704.51,NA
230440005060756,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,284,951,3.35,2.72,706.45,380591.49,748.63,371705.69,432.01,266221.86,630.98,263282.67,NA
230440005060757,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,305,1027,3.37,2.34,770.85,941278.01,819.19,960776.39,467.01,513155.6,713.77,608333.15,NA
230440005060758,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,212,647,3.05,2.49,664.96,270512.25,711.98,256091,453.63,235210.08,666.16,203750.71,NA
230440005060759,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,247,810,3.28,2.47,905.59,964718.75,955.9,970246.28,562.54,647962.79,831.27,734293.57,NA
230440005060760,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,223,765,3.43,3.01,1358.13,2178008.22,1428.6,2190404.59,746.3,1197192.21,1121.87,1378729.09,NA
230440005060761,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,376,1265,3.36,2.59,687.17,752406.7,864.13,793388.35,503.04,604149.25,812.37,724546.88,NA
230440005060762,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,199,732,3.68,2.87,1156.1,3768691.79,1217.26,3894299.12,594.52,1466814.37,874.29,1913527.49,NA
230440005060763,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,208,693,3.33,2.16,840.72,763862.49,976.93,754500.87,530.72,499340.74,838.13,531005.21,NA
230440005060764,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,111,391,3.52,2.8,927.12,628373.43,989.52,608730.83,534.65,365091.38,779.88,341198.76,NA
230440005060765,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400020,Jardim Guanabara,1,0,151,506,3.35,3,816.05,500578.71,873.92,485394.27,463.62,339120.68,716.96,342806.27,NA
230440005060766,2,Região Nordeste,23,Ceará,2303,Metropolitana de Fortaleza,23016,Fortaleza,07,RM Fortaleza,2304400,FORTALEZA,230440005,FORTALEZA,23044000506,ANTÔNIO BEZERRA,2304400039,Vila Velha,1,0,269,995,3.7,3.06,1197.92,3654382.75,1723.21,4355397.67,796.42,1724360.62,1379.31,2183318.96,NA
