Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012,X34
261160605180001,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,292,620,2.12,2,1376.14,2892868.26,1600.93,3005989.91,960.17,1891727.6,1358.9,2136060.88,NA
261160605180002,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,286,762,2.66,2.15,2921.92,173831168.69,3251.63,192446695.34,1543.52,67770023.46,2141.56,92793203.72,NA
261160605180003,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,231,506,2.19,1.65,1239.59,1171198.83,1468.44,1050755.11,991.62,1360218.93,1367.36,1361861.09,NA
261160605180004,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,281,591,2.1,1.36,1581.4,3364233.28,1670.58,3405122.5,1114.68,2300413.93,1433.9,2501934.86,NA
261160605180005,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,333,747,2.24,1.91,1735.23,4586030.71,1846.1,4674660.68,1214.43,3176076.7,1567.15,3546452.15,NA
261160605180006,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,298,720,2.42,1.99,1512.31,2455560.91,1638.79,2453647.99,1001.5,1687211.06,1347.94,1804107.09,NA
261160605180007,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,294,824,2.8,3.79,2060.29,7041265.07,2171.05,7179841.01,1209.97,4165817.36,1669.53,4982302.61,NA
261160605180008,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,182,391,2.15,1.7,2090.58,3835609.7,2320.04,3723566,1409.11,3005084.18,2069.28,3047062.21,NA
261160605180009,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,218,569,2.61,1.89,2258.15,18157063.64,2498.87,19497875.22,1349.21,8703873.08,1980.28,11532926.65,NA
261160605180010,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,283,575,2.03,1.28,1737.61,3526501.45,1982.84,3537991.15,1332.1,2845276.08,1747.59,3007013.96,NA
261160605180011,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,207,456,2.2,2.15,1572.61,4100179.52,1870.87,4321074.94,1253.06,2879479.44,1679.55,3144023.59,NA
261160605180012,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,275,642,2.33,1.86,1823.73,3348220.85,2022.28,3311068.21,1187.35,2391085.49,1661.75,2558475.17,NA
261160605180013,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,174,364,2.09,2.07,2714.61,32400179.67,2794.93,33138662.52,1706.45,17557929.92,2205.74,21608941.34,NA
261160605180014,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,198,427,2.16,1.69,1688.47,5009154.29,1847.06,5187695.74,1225.74,3029410.82,1487.87,3288030.28,NA
261160605180015,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,127,307,2.42,2.48,3416.63,10248376.41,3586.05,10148185.01,2320.98,10745372.35,3000.55,11857475.04,NA
261160605180016,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,165,475,2.88,2.61,4213.87,30210487.72,4729.86,31477819.85,1970.15,13483468.68,2971.37,17371345.66,NA
261160605180017,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,299,798,2.67,1.69,2554.91,9027720.7,2960.93,9261087.48,1591.05,5687299.79,2358.93,6622557.21,NA
261160605180018,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,309,748,2.42,1.81,3355.61,14869024.89,3826.14,15154726.37,2330.37,11165351.42,3082.53,12452962.22,NA
261160605180019,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,281,606,2.16,1.76,4040.24,16396781.18,4268.07,16348823.92,2697.98,12696535.71,3538.03,13679884.87,NA
261160605180020,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,7,NA,NA,NA,NA,NA,NA,NA,NA,364.44,187753.46,678.62,134569.46,NA
261160605180021,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,7,NA,NA,NA,NA,NA,NA,NA,NA,545.74,189719.48,700.19,134220,NA
261160605180022,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,209,633,3.03,2.25,4148.53,23735141.31,4539.49,24199632.29,2412.53,30329618.12,3385.6,39289749.58,NA
261160605180023,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,225,650,2.89,1.79,3346.82,9470939.36,3585.88,9289336.39,2052.27,6669768.34,2789.45,7009983.87,NA
261160605180024,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606003,Boa Vista,1,0,244,657,2.69,1.74,3459.42,8613184.2,3802.25,8161199.09,1904.6,6233810.98,2778.63,6666921.41,NA
261160605180025,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606004,Soledade,1,0,301,797,2.65,2.19,2599,8498971.86,2886.71,8609683.74,1615.88,5536476.15,2352.34,6328934.32,NA
261160605180026,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606004,Soledade,1,0,162,349,2.15,1.73,1288.76,3369604.07,1725.45,3761126.47,1041.22,3041906.6,1490.93,3687756.82,NA
261160605180027,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606004,Soledade,1,0,84,279,3.32,2.03,4467,19220931.9,4520.82,19209059.13,2256.48,11913370.16,3151.9,13828730.01,NA
261160605180028,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606004,Soledade,1,0,221,546,2.47,1.81,2286.81,5371920.82,2477.38,5347352.84,1506.8,3665872.8,2014.36,3878856.69,NA
261160605180029,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606002,Santo Amaro,1,0,216,749,3.47,2.25,1598.61,2722303.28,1692.64,2723274.78,875.31,1497743.17,1288.44,1672731.69,NA
261160605180030,2,Região Nordeste,26,Pernambuco,2605,Metropolitana de Recife,26017,Recife,11,RM Recife,2611606,RECIFE,261160605,RECIFE,26116060518,RPA 01,2611606002,Santo Amaro,1,0,222,748,3.37,2.69,1004.85,5572085.76,2323.72,9865494.41,811.86,17964797.74,2194.9,45642612.84,NA
